scenario,parameters,C_actual,N_actual,initial_cost,final_cost,improvement,improvement_pct,barges_used,containers_on_barges,containers_trucked,barge_utilization_pct,success,parameter,variation_pct,test_value
travel_times_+50%,{'Qk': 2500, 'H_b': 60, 'H_t_40': 65, 'H_t_20': 45, 'Handling_time': 0.4, 'travel_times': 1.5, 'num_barges': 8, 'N': 16, 'C': 160},160,16,8740.6,7386,1354.6000000000004,15.497791913598613,8,63,111,0.5900000000000001,True,travel_times,50,1.5
num_barges_4,{'Qk': 2500, 'H_b': 60, 'H_t_40': 65, 'H_t_20': 45, 'Handling_time': 0.4, 'travel_times': 1.0, 'num_barges': 4, 'N': 16, 'C': 160},160,16,9101.8,8966,135.79999999999927,1.492012568942399,4,32,142,0.61,True,num_barges,,
num_barges_6,{'Qk': 2500, 'H_b': 60, 'H_t_40': 65, 'H_t_20': 45, 'Handling_time': 0.4, 'travel_times': 1.0, 'num_barges': 6, 'N': 16, 'C': 160},160,16,8292.2,8092,200.20000000000073,2.4143170690528537,6,48,126,0.6133333333333334,True,num_barges,,
num_barges_8,{'Qk': 2500, 'H_b': 60, 'H_t_40': 65, 'H_t_20': 45, 'Handling_time': 0.4, 'travel_times': 1.0, 'num_barges': 8, 'N': 16, 'C': 160},160,16,7579.599999999999,7341,238.59999999999945,3.1479233732650727,8,63,111,0.5900000000000001,True,num_barges,,
num_barges_10,{'Qk': 2500, 'H_b': 60, 'H_t_40': 65, 'H_t_20': 45, 'Handling_time': 0.4, 'travel_times': 1.0, 'num_barges': 10, 'N': 16, 'C': 160},160,16,6392.0,6115,277.0,4.333541927409262,10,85,89,0.636,True,num_barges,,
num_barges_12,{'Qk': 2500, 'H_b': 60, 'H_t_40': 65, 'H_t_20': 45, 'Handling_time': 0.4, 'travel_times': 1.0, 'num_barges': 12, 'N': 16, 'C': 160},160,16,5504.400000000001,5189,315.40000000000055,5.729961485357178,12,103,71,0.6333333333333333,True,num_barges,,
N_8,{'Qk': 2500, 'H_b': 60, 'H_t_40': 65, 'H_t_20': 45, 'Handling_time': 0.4, 'travel_times': 1.0, 'num_barges': 8, 'N': 8, 'C': 160},160,8,7579.599999999999,7341,238.59999999999945,3.1479233732650727,8,63,111,0.5900000000000001,True,N,,
N_12,{'Qk': 2500, 'H_b': 60, 'H_t_40': 65, 'H_t_20': 45, 'Handling_time': 0.4, 'travel_times': 1.0, 'num_barges': 8, 'N': 12, 'C': 160},160,12,7579.599999999999,7341,238.59999999999945,3.1479233732650727,8,63,111,0.5900000000000001,True,N,,
N_16,{'Qk': 2500, 'H_b': 60, 'H_t_40': 65, 'H_t_20': 45, 'Handling_time': 0.4, 'travel_times': 1.0, 'num_barges': 8, 'N': 16, 'C': 160},160,16,7579.599999999999,7341,238.59999999999945,3.1479233732650727,8,63,111,0.5900000000000001,True,N,,
N_20,{'Qk': 2500, 'H_b': 60, 'H_t_40': 65, 'H_t_20': 45, 'Handling_time': 0.4, 'travel_times': 1.0, 'num_barges': 8, 'N': 20, 'C': 160},160,20,7579.599999999999,7341,238.59999999999945,3.1479233732650727,8,63,111,0.5900000000000001,True,N,,
N_24,{'Qk': 2500, 'H_b': 60, 'H_t_40': 65, 'H_t_20': 45, 'Handling_time': 0.4, 'travel_times': 1.0, 'num_barges': 8, 'N': 24, 'C': 160},160,24,7579.599999999999,7341,238.59999999999945,3.1479233732650727,8,63,111,0.5900000000000001,True,N,,
C_80,{'Qk': 2500, 'H_b': 60, 'H_t_40': 65, 'H_t_20': 45, 'Handling_time': 0.4, 'travel_times': 1.0, 'num_barges': 8, 'N': 16, 'C': 80},80,16,7579.599999999999,7341,238.59999999999945,3.1479233732650727,8,63,111,0.5900000000000001,True,C,,
C_120,{'Qk': 2500, 'H_b': 60, 'H_t_40': 65, 'H_t_20': 45, 'Handling_time': 0.4, 'travel_times': 1.0, 'num_barges': 8, 'N': 16, 'C': 120},120,16,7579.599999999999,7341,238.59999999999945,3.1479233732650727,8,63,111,0.5900000000000001,True,C,,
C_160,{'Qk': 2500, 'H_b': 60, 'H_t_40': 65, 'H_t_20': 45, 'Handling_time': 0.4, 'travel_times': 1.0, 'num_barges': 8, 'N': 16, 'C': 160},160,16,7579.599999999999,7341,238.59999999999945,3.1479233732650727,8,63,111,0.5900000000000001,True,C,,
C_200,{'Qk': 2500, 'H_b': 60, 'H_t_40': 65, 'H_t_20': 45, 'Handling_time': 0.4, 'travel_times': 1.0, 'num_barges': 8, 'N': 16, 'C': 200},200,16,7579.599999999999,7341,238.59999999999945,3.1479233732650727,8,63,111,0.5900000000000001,True,C,,
C_240,{'Qk': 2500, 'H_b': 60, 'H_t_40': 65, 'H_t_20': 45, 'Handling_time': 0.4, 'travel_times': 1.0, 'num_barges': 8, 'N': 16, 'C': 240},240,16,7579.599999999999,7341,238.59999999999945,3.1479233732650727,8,63,111,0.5900000000000001,True,C,,
