scenario,parameters,C_actual,N_actual,initial_cost,final_cost,improvement,improvement_pct,barges_used,containers_on_barges,containers_trucked,barge_utilization_pct,success,parameter,variation_pct,test_value
H_b_base,{'Qk': [104, 99, 81, 52, 28], 'H_b': [3700, 3600, 3400, 2800, 1800], 'H_t_40': 200, 'H_t_20': 140, 'Handling_time': 0.16666666666666666, 'travel_times': 1.0, 'num_barges': 5, 'N': 16, 'C': 160},160,16,37772.49999999999,35016,2756.4999999999927,7.297637169898719,4,38,122,34.02735381902049,True,H_b,0,
H_b_+10%,{'Qk': [104, 99, 81, 52, 28], 'H_b': [4070.0000000000005, 3960.0000000000005, 3740.0000000000005, 3080.0000000000005, 1980.0000000000002], 'H_t_40': 200, 'H_t_20': 140, 'Handling_time': 0.16666666666666666, 'travel_times': 1.0, 'num_barges': 5, 'N': 16, 'C': 160},160,16,39302.5,36186.0,3116.5,7.929521022835698,4,38,122,34.02735381902049,True,H_b,10,
H_b_+20%,{'Qk': [104, 99, 81, 52, 28], 'H_b': [4440.0, 4320.0, 4080.0, 3360.0, 2160.0], 'H_t_40': 200, 'H_t_20': 140, 'Handling_time': 0.16666666666666666, 'travel_times': 1.0, 'num_barges': 5, 'N': 16, 'C': 160},160,16,40832.5,37356.0,3476.5,8.514051307169535,4,38,122,34.02735381902049,True,H_b,20,
H_b_+30%,{'Qk': [104, 99, 81, 52, 28], 'H_b': [4810.0, 4680.0, 4420.0, 3640.0, 2340.0], 'H_t_40': 200, 'H_t_20': 140, 'Handling_time': 0.16666666666666666, 'travel_times': 1.0, 'num_barges': 5, 'N': 16, 'C': 160},160,16,42362.5,38526.0,3836.5,9.056358807907937,4,38,122,34.02735381902049,True,H_b,30,
H_b_+50%,{'Qk': [104, 99, 81, 52, 28], 'H_b': [5550.0, 5400.0, 5100.0, 4200.0, 2700.0], 'H_t_40': 200, 'H_t_20': 140, 'Handling_time': 0.16666666666666666, 'travel_times': 1.0, 'num_barges': 5, 'N': 16, 'C': 160},160,16,45422.5,40866.0,4556.5,10.031372117342727,4,38,122,34.02735381902049,True,H_b,50,
num_barges_4,{'Qk': [104, 99, 81, 52, 28], 'H_b': [3700, 3600, 3400, 2800, 1800], 'H_t_40': 200, 'H_t_20': 140, 'Handling_time': 0.16666666666666666, 'travel_times': 1.0, 'num_barges': 4, 'N': 16, 'C': 160},160,16,38194.0,38016,178.0,0.466041786668063,4,32,128,16.88546792713459,True,num_barges,,
num_barges_6,{'Qk': [104, 99, 81, 52, 28], 'H_b': [3700, 3600, 3400, 2800, 1800], 'H_t_40': 200, 'H_t_20': 140, 'Handling_time': 0.16666666666666666, 'travel_times': 1.0, 'num_barges': 6, 'N': 16, 'C': 160},160,16,38663.0,35888,2775.0,7.177404753899077,5,43,117,33.65045448378782,True,num_barges,,
num_barges_8,{'Qk': [104, 99, 81, 52, 28], 'H_b': [3700, 3600, 3400, 2800, 1800], 'H_t_40': 200, 'H_t_20': 140, 'Handling_time': 0.16666666666666666, 'travel_times': 1.0, 'num_barges': 8, 'N': 16, 'C': 160},160,16,37704.0,37426,278.0,0.7373223000212179,8,73,87,42.37130539213872,True,num_barges,,
num_barges_10,{'Qk': [104, 99, 81, 52, 28], 'H_b': [3700, 3600, 3400, 2800, 1800], 'H_t_40': 200, 'H_t_20': 140, 'Handling_time': 0.16666666666666666, 'travel_times': 1.0, 'num_barges': 10, 'N': 16, 'C': 160},160,16,37665.000000000015,37350,315.00000000001455,0.8363201911589392,10,93,67,46.39704431371098,True,num_barges,,
num_barges_12,{'Qk': [104, 99, 81, 52, 28], 'H_b': [3700, 3600, 3400, 2800, 1800], 'H_t_40': 200, 'H_t_20': 140, 'Handling_time': 0.16666666666666666, 'travel_times': 1.0, 'num_barges': 12, 'N': 16, 'C': 160},160,16,39840.000000000015,39354,486.00000000001455,1.2198795180723252,12,102,58,43.128489309044866,True,num_barges,,
N_8,{'Qk': [104, 99, 81, 52, 28], 'H_b': [3700, 3600, 3400, 2800, 1800], 'H_t_40': 200, 'H_t_20': 140, 'Handling_time': 0.16666666666666666, 'travel_times': 1.0, 'num_barges': 5, 'N': 8, 'C': 160},160,8,32584.499999999993,26900,5684.499999999993,17.445411161748666,3,66,94,77.99993216659882,True,N,,
N_12,{'Qk': [104, 99, 81, 52, 28], 'H_b': [3700, 3600, 3400, 2800, 1800], 'H_t_40': 200, 'H_t_20': 140, 'Handling_time': 0.16666666666666666, 'travel_times': 1.0, 'num_barges': 5, 'N': 12, 'C': 160},160,12,37804.49999999999,30052,7752.499999999993,20.506817971405507,1,11,149,67.85714285714286,True,N,,
N_16,{'Qk': [104, 99, 81, 52, 28], 'H_b': [3700, 3600, 3400, 2800, 1800], 'H_t_40': 200, 'H_t_20': 140, 'Handling_time': 0.16666666666666666, 'travel_times': 1.0, 'num_barges': 5, 'N': 16, 'C': 160},160,16,37772.49999999999,35016,2756.4999999999927,7.297637169898719,4,38,122,34.02735381902049,True,N,,
N_20,{'Qk': [104, 99, 81, 52, 28], 'H_b': [3700, 3600, 3400, 2800, 1800], 'H_t_40': 200, 'H_t_20': 140, 'Handling_time': 0.16666666666666666, 'travel_times': 1.0, 'num_barges': 5, 'N': 20, 'C': 160},160,20,42012.49999999999,30440,11572.499999999993,27.545373400773563,0,0,160,0,True,N,,
N_24,{'Qk': [104, 99, 81, 52, 28], 'H_b': [3700, 3600, 3400, 2800, 1800], 'H_t_40': 200, 'H_t_20': 140, 'Handling_time': 0.16666666666666666, 'travel_times': 1.0, 'num_barges': 5, 'N': 24, 'C': 160},160,24,42392.49999999999,30680,11712.499999999993,27.628707908238475,0,0,160,0,True,N,,
C_80,{'Qk': [104, 99, 81, 52, 28], 'H_b': [3700, 3600, 3400, 2800, 1800], 'H_t_40': 200, 'H_t_20': 140, 'Handling_time': 0.16666666666666666, 'travel_times': 1.0, 'num_barges': 5, 'N': 16, 'C': 80},80,16,26592.499999999993,17808,8784.499999999993,33.03375011751432,2,15,65,28.640109890109887,True,C,,
C_120,{'Qk': [104, 99, 81, 52, 28], 'H_b': [3700, 3600, 3400, 2800, 1800], 'H_t_40': 200, 'H_t_20': 140, 'Handling_time': 0.16666666666666666, 'travel_times': 1.0, 'num_barges': 5, 'N': 16, 'C': 120},120,16,33152.49999999999,27242,5910.499999999993,17.828218083100804,3,25,95,30.483867983867984,True,C,,
C_160,{'Qk': [104, 99, 81, 52, 28], 'H_b': [3700, 3600, 3400, 2800, 1800], 'H_t_40': 200, 'H_t_20': 140, 'Handling_time': 0.16666666666666666, 'travel_times': 1.0, 'num_barges': 5, 'N': 16, 'C': 160},160,16,37772.49999999999,35016,2756.4999999999927,7.297637169898719,4,38,122,34.02735381902049,True,C,,
C_200,{'Qk': [104, 99, 81, 52, 28], 'H_b': [3700, 3600, 3400, 2800, 1800], 'H_t_40': 200, 'H_t_20': 140, 'Handling_time': 0.16666666666666666, 'travel_times': 1.0, 'num_barges': 5, 'N': 16, 'C': 200},200,16,45072.49999999999,38648,6424.499999999993,14.253702368406444,2,26,174,38.39285714285714,True,C,,
C_240,{'Qk': [104, 99, 81, 52, 28], 'H_b': [3700, 3600, 3400, 2800, 1800], 'H_t_40': 200, 'H_t_20': 140, 'Handling_time': 0.16666666666666666, 'travel_times': 1.0, 'num_barges': 5, 'N': 16, 'C': 240},240,16,50572.49999999999,46342,4230.499999999993,8.365218251025743,3,45,195,42.08476708476708,True,C,,
